Title,Skill,Title,Hot Technology,
Legislators,Apple iWork Keynote,Presentation software,N,
Legislators,Apple Numbers for Mac,Spreadsheet software,N,
Legislators,Apple Pages for Mac,Word processing software,N,
Legislators,Cisco AnyConnect,Access software,N,
Legislators,Cisco Systems WebEx,Video conferencing software,N,
Legislators,Citrix GoToMeeting,Video conferencing software,N,
Legislators,Corel WordPerfect Office Suite,Office suite software,N,
Legislators,GoodReader,Word processing software,N,
Legislators,iAnnotate,Word processing software,N,
Legislators,IBM Domino,Communications server software,N,
Legislators,Legislative Automative Workflow System LAWS,Data base user interface and query software,N,
Legislators,Mapping software,Map creation software,N,
Legislators,Meeting scheduling software,Calendar and scheduling software,N,
Legislators,Microsoft Access,Data base user interface and query software,Y,
Legislators,Microsoft Excel,Spreadsheet software,Y,
Legislators,Microsoft Exchange Server,Electronic mail software,Y,
Legislators,Microsoft Office,Office suite software,Y,
Legislators,Microsoft Outlook,Electronic mail software,Y,
Legislators,Microsoft SharePoint,Project management software,Y,
Legislators,Microsoft SQL Server,Data base user interface and query software,Y,
Legislators,Microsoft Visual Basic,Development environment software,Y,
Legislators,Microsoft Word,Word processing software,Y,
Legislators,Penultimate,Word processing software,N,
Legislators,PTC Arbortext Editor,Word processing software,N,
Legislators,Rocket/Folio NXT,Desktop publishing software,N,
Legislators,Structured query language SQL,Data base user interface and query software,Y,
Legislators,Web browser software,Internet browser software,N,
Legislators,Windows Media Player,Music or sound editing software,N,
Legislators,XMetaL Author,Word processing software,N,
Advertising and Promotions Managers,Actuate BIRT,Business intelligence and data analysis software,N,
Advertising and Promotions Managers,Adobe Systems Adobe Acrobat,Document management software,Y,
Advertising and Promotions Managers,Adobe Systems Adobe AfterEffects,Video creation and editing software,Y,
Advertising and Promotions Managers,Adobe Systems Adobe Creative Suite,Development environment software,N,
Advertising and Promotions Managers,Adobe Systems Adobe Dreamweaver,Web page creation and editing software,Y,
Advertising and Promotions Managers,Adobe Systems Adobe Flash Player,Web page creation and editing software,N,
Advertising and Promotions Managers,Adobe Systems Adobe Illustrator,Graphics or photo imaging software,Y,
Advertising and Promotions Managers,Adobe Systems Adobe InDesign,Desktop publishing software,Y,
Advertising and Promotions Managers,Adobe Systems Adobe PageMaker,Desktop publishing software,N,
Advertising and Promotions Managers,Adobe Systems Adobe Photoshop,Graphics or photo imaging software,Y,
Advertising and Promotions Managers,Adobe Systems Adobe Premiere Pro,Video creation and editing software,N,
Advertising and Promotions Managers,AdRelevance,Data base reporting software,N,
Advertising and Promotions Managers,Apple Final Cut Pro,Video creation and editing software,N,
Advertising and Promotions Managers,Apple iMovie,Video creation and editing software,N,
Advertising and Promotions Managers,Avid Media Composer,Video creation and editing software,N,
Advertising and Promotions Managers,Brainworks,Enterprise resource planning ERP software,Y,
